"10.21.2024","00.33.27","Blocks","BONE_BLOCK","1","3.56","Vault","GenericGeoPol"
"10.21.2024","02.05.08","Blocks","POLISHED_DIORITE","42","49.9843","Vault","Illiana1"
"10.21.2024","02.28.41","Blocks","POLISHED_DIORITE","64","77.1566","Vault","Illiana1"
"10.21.2024","02.28.41","Blocks","POLISHED_DIORITE","18","21.7247","Vault","Illiana1"
"10.21.2024","02.48.47","Blocks","GRAVEL","64","14.1713","Vault","SuitNtieRbbt"
"10.21.2024","02.56.06","Blocks","GRAVEL","64","12.591","Vault","oWatur"
"10.21.2024","09.41.57","Blocks","GLASS","14","54.9836","Vault","BloxdyDemxn"
"10.21.2024","11.41.40","Blocks","DEEPSLATE_BRICKS","64","184.2626","Vault","gustavusbackup"
"10.21.2024","13.08.46","Blocks","SANDSTONE","64","36.1348","Vault","AckeCraft"
"10.21.2024","13.48.18","Blocks","GRAVEL","1","0.1892","Vault","Shad0w890"
"10.21.2024","16.15.28","Blocks","STONE_BRICKS","64","108.7297","Vault","Zakhar2256"
"10.21.2024","16.15.28","Blocks","STONE_BRICKS","64","108.9542","Vault","Zakhar2256"
"10.21.2024","16.15.29","Blocks","STONE_BRICKS","64","109.1796","Vault","Zakhar2256"
"10.21.2024","16.51.05","Blocks","CALCITE","64","72.3785","Vault","C4RMIN3Ds"
"10.21.2024","16.54.09","Blocks","CALCITE","64","72.5018","Vault","C4RMIN3Ds"
"10.21.2024","17.01.01","Blocks","SAND","64","9.4179","Vault","AckeCraft"
"10.21.2024","17.01.02","Blocks","SAND","64","9.4299","Vault","AckeCraft"
"10.21.2024","17.01.02","Blocks","SAND","64","9.4419","Vault","AckeCraft"
"10.21.2024","17.01.02","Blocks","SAND","64","9.454","Vault","AckeCraft"
"10.21.2024","17.01.03","Blocks","SAND","64","9.4661","Vault","AckeCraft"
"10.21.2024","17.01.03","Blocks","SAND","64","9.4782","Vault","AckeCraft"
"10.21.2024","17.01.03","Blocks","SAND","64","9.4904","Vault","AckeCraft"
"10.21.2024","17.01.03","Blocks","SAND","64","9.5026","Vault","AckeCraft"
"10.21.2024","17.01.03","Blocks","SAND","64","9.5148","Vault","AckeCraft"
"10.21.2024","17.01.04","Blocks","SAND","64","9.5271","Vault","AckeCraft"
"10.21.2024","17.01.04","Blocks","SAND","64","9.5394","Vault","AckeCraft"
"10.21.2024","17.01.04","Blocks","SAND","64","9.5517","Vault","AckeCraft"
"10.21.2024","17.01.04","Blocks","SAND","64","9.564","Vault","AckeCraft"
"10.21.2024","17.01.05","Blocks","SAND","64","9.5764","Vault","AckeCraft"
"10.21.2024","17.01.20","Blocks","SAND","64","9.5888","Vault","galeriu"
"10.21.2024","17.01.21","Blocks","SAND","64","9.6013","Vault","galeriu"
"10.21.2024","17.01.21","Blocks","SAND","64","9.6137","Vault","galeriu"
"10.21.2024","17.01.21","Blocks","SAND","64","9.6263","Vault","galeriu"
"10.21.2024","17.01.21","Blocks","SAND","64","9.6388","Vault","galeriu"
"10.21.2024","17.01.22","Blocks","SAND","64","9.6514","Vault","galeriu"
"10.21.2024","17.01.22","Blocks","SAND","64","9.664","Vault","galeriu"
"10.21.2024","17.01.22","Blocks","SAND","64","9.6766","Vault","galeriu"
"10.21.2024","17.01.22","Blocks","SAND","64","9.6893","Vault","galeriu"
"10.21.2024","17.01.22","Blocks","SAND","64","9.702","Vault","galeriu"
"10.21.2024","17.01.23","Blocks","SAND","64","9.7148","Vault","galeriu"
"10.21.2024","17.01.23","Blocks","SAND","64","9.7275","Vault","galeriu"
"10.21.2024","17.01.23","Blocks","SAND","64","9.7404","Vault","galeriu"
"10.21.2024","17.01.23","Blocks","SAND","64","9.7532","Vault","galeriu"
"10.21.2024","17.01.24","Blocks","SAND","64","9.7661","Vault","galeriu"
"10.21.2024","17.01.24","Blocks","SAND","64","9.779","Vault","galeriu"
"10.21.2024","17.01.24","Blocks","SAND","64","9.7919","Vault","galeriu"
"10.21.2024","17.01.24","Blocks","SAND","64","9.8049","Vault","galeriu"
"10.21.2024","17.01.24","Blocks","SAND","64","9.8179","Vault","galeriu"
